iter	RMSE
0	6.251356563
1	6.027151625
2	5.780903955
3	5.561685943
4	5.347096877
5	5.141005201
6	4.948071233
7	4.762502673
8	4.58318953
9	4.420772371
10	4.255294313
11	4.110128511
12	3.961598366
13	3.8261611
14	3.702241792
15	3.56929056
16	3.459226042
17	3.360853225
18	3.251525072
19	3.150068324
20	3.061901542
21	2.976071096
22	2.894271899
23	2.808441291
24	2.731645667
25	2.655238726
26	2.587901856
27	2.52611022
28	2.470127485
29	2.41507847
30	2.361275141
31	2.315122275
32	2.263779472
33	2.21383072
34	2.173452531
35	2.130248007
36	2.094526835
37	2.059840293
38	2.029019614
39	1.994891326
40	1.964046221
41	1.935139632
42	1.906232534
43	1.880446712
44	1.857576643
45	1.837977147
46	1.815052065
47	1.796662279
48	1.776268663
49	1.755743901
50	1.741216805
51	1.723843741
52	1.707993366
53	1.692169644
54	1.678324652
55	1.665256881
56	1.656733467
57	1.643092944
58	1.633917349
59	1.624774446
60	1.615455544
61	1.605461226
62	1.598407896
63	1.589646628
64	1.581367778
65	1.574315829
66	1.567171062
67	1.558590847
68	1.552899654
69	1.546831205
70	1.541769806
71	1.536200796
72	1.531674014
73	1.527015139
74	1.521848204
75	1.516253331
76	1.511349837
77	1.507073015
78	1.501857421
79	1.498584829
80	1.495898657
81	1.491647616
82	1.487975717
83	1.483638624
84	1.481585241
85	1.476910194
86	1.474112642
87	1.471269055
88	1.467690175
89	1.464545968
90	1.46123063
91	1.458858236
92	1.456323853
93	1.453343141
94	1.451276879
95	1.448018048
96	1.446091582
97	1.444465283
98	1.440667682
99	1.438007981
100	1.435585618
101	1.433042804
102	1.430918868
103	1.429048512
104	1.427533352
105	1.426023706
106	1.423670186
107	1.420539609
108	1.418107603
109	1.416016532
110	1.413754036
111	1.412043451
112	1.409798287
113	1.408308525
114	1.405446272
115	1.402888497
116	1.401261195
117	1.399068667
118	1.397102438
119	1.394623502
120	1.393223844
121	1.39083525
122	1.389427842
123	1.386599247
124	1.384729346
125	1.383816598
126	1.382726086
127	1.380889556
128	1.379162497
129	1.378328669
130	1.376428581
131	1.374935834
132	1.373816768
133	1.371464411
134	1.36883793
135	1.367955831
136	1.365863867
137	1.364644961
138	1.361971513
139	1.360539634
140	1.358710301
141	1.356721613
142	1.354584141
143	1.352984166
144	1.350930354
145	1.348225325
146	1.346387513
147	1.344481071
148	1.342918814
149	1.341334604
150	1.339520375
151	1.337985708
152	1.336343703
153	1.334615008
154	1.33332068
155	1.332265313
156	1.331215365
157	1.328766039
158	1.327215667
159	1.325678598
160	1.324719572
161	1.32369073
162	1.322248747
163	1.32071004
164	1.31759356
165	1.317057449
166	1.315410892
167	1.313567175
168	1.312649263
169	1.31118459
170	1.310242945
171	1.308940229
172	1.305884438
173	1.304809941
174	1.303763703
175	1.302955552
176	1.301266045
177	1.299800298
178	1.298579319
179	1.295582237
180	1.294626805
181	1.293881763
182	1.29289354
183	1.290884055
184	1.288905864
185	1.287382787
186	1.285209071
187	1.284134844
188	1.281230377
189	1.279273721
190	1.278038711
191	1.276508177
192	1.274935842
193	1.272492707
194	1.269683546
195	1.268439298
196	1.267188374
197	1.265480138
198	1.262280749
199	1.261819333
200	1.260810991
201	1.260309878
202	1.259122024
203	1.257450583
204	1.256609755
205	1.255664435
206	1.253391488
207	1.252467306
208	1.250951192
209	1.249503867
210	1.248359244
211	1.246690558
212	1.244116709
213	1.242159415
214	1.24073855
215	1.238683291
216	1.237848468
217	1.236848607
218	1.234549471
219	1.231680781
220	1.229634043
221	1.228583216
222	1.228038609
223	1.226824124
224	1.225949668
225	1.224202871
226	1.221850165
227	1.220978971
228	1.220114595
229	1.217656017
230	1.215321301
231	1.212310905
232	1.20923756
233	1.207846593
234	1.206481917
235	1.205156018
236	1.20364094
237	1.201190875
238	1.198886406
239	1.197149067
240	1.195477975
241	1.194130254
242	1.191447061
243	1.189636571
244	1.188157176
245	1.187202781
246	1.184910718
247	1.182624239
248	1.181412117
249	1.180334971
250	1.177960248
251	1.175879927
252	1.175544245
253	1.172797355
254	1.170141096
255	1.169277189
256	1.167468266
257	1.165283283
258	1.164351003
259	1.161417386
260	1.158507106
261	1.156389154
262	1.154794962
263	1.154415854
264	1.152728328
265	1.151299702
266	1.15001587
267	1.148375246
268	1.146712153
269	1.145420634
270	1.142757854
271	1.140589313
272	1.13926054
273	1.137113251
274	1.13478276
275	1.133345874
276	1.1325208
277	1.131557044
278	1.130032571
279	1.129672656
280	1.128615272
281	1.127257044
282	1.125239724
283	1.124452313
284	1.12371024
285	1.121558499
286	1.119731567
287	1.119173319
288	1.118895566
289	1.117827003
290	1.117235284
291	1.114826069
292	1.11348463
293	1.110901722
294	1.109769233
295	1.107544227
296	1.105242197
297	1.103372633
298	1.103018268
299	1.101184335
300	1.101072434
301	1.10091393
302	1.0992413
303	1.097854102
304	1.096570354
305	1.094934038
