iter	Passed	Remaining
0	153	76536
1	155	38792
2	158	26214
3	160	19927
4	163	16228
5	166	13678
6	168	11858
7	170	10506
8	173	9452
9	176	8645
10	180	8033
11	184	7490
12	186	6983
13	189	6572
14	191	6206
15	194	5891
16	196	5596
17	199	5348
18	202	5130
19	204	4919
20	207	4722
21	208	4539
22	211	4377
23	213	4224
24	215	4088
25	217	3962
26	219	3841
27	221	3726
28	223	3628
29	225	3532
30	227	3447
31	230	3365
32	232	3285
33	234	3210
34	236	3138
35	237	3067
36	239	3002
37	242	2944
38	244	2888
39	246	2832
40	248	2780
41	250	2731
42	252	2681
43	254	2635
44	256	2591
45	258	2548
46	260	2508
47	262	2468
48	263	2427
49	265	2392
50	267	2358
51	269	2325
52	272	2294
53	273	2261
54	275	2229
55	277	2198
56	279	2168
57	280	2139
58	284	2123
59	286	2098
60	288	2073
61	289	2047
62	291	2021
63	293	1998
64	295	1976
65	297	1954
66	299	1933
67	301	1913
68	303	1893
69	305	1874
70	307	1855
71	308	1836
72	310	1817
73	312	1799
74	314	1781
75	316	1764
76	318	1747
77	319	1730
78	321	1714
79	323	1699
80	325	1684
81	327	1669
82	329	1655
83	331	1640
84	333	1627
85	335	1613
86	337	1602
87	339	1589
88	341	1576
89	343	1563
90	345	1550
91	347	1539
92	348	1526
93	350	1514
94	352	1503
95	354	1492
96	356	1480
97	358	1469
98	360	1458
99	361	1447
100	363	1436
101	365	1426
102	367	1416
103	369	1406
104	370	1395
105	372	1385
106	374	1376
107	376	1366
108	378	1356
109	379	1346
110	381	1337
111	383	1328
112	385	1319
113	386	1310
114	388	1300
115	390	1292
116	392	1284
117	394	1276
118	396	1268
119	397	1260
120	399	1252
121	401	1243
122	403	1236
123	405	1228
124	406	1220
125	408	1212
126	410	1204
127	411	1196
128	413	1188
129	415	1181
130	416	1174
131	418	1167
132	420	1160
133	422	1152
134	423	1145
135	425	1137
136	426	1130
137	428	1124
138	430	1117
139	432	1110
140	433	1104
141	435	1097
142	437	1091
143	438	1084
144	440	1078
145	442	1072
146	443	1066
147	445	1059
148	447	1054
149	449	1048
150	451	1042
151	453	1037
152	454	1031
153	456	1025
154	458	1020
155	460	1015
156	462	1009
157	464	1004
158	466	999
159	468	994
160	470	989
161	472	985
162	474	981
163	476	976
164	478	972
165	480	967
166	483	963
167	485	959
168	487	954
169	489	950
170	492	946
171	494	943
172	496	938
173	498	934
174	500	930
175	503	926
176	505	922
177	507	918
178	509	913
179	511	910
180	513	905
181	515	900
182	517	896
183	519	892
184	521	888
185	524	884
186	526	881
187	528	876
188	530	873
189	533	870
190	535	867
191	538	863
192	540	859
193	543	856
194	545	853
195	548	850
196	550	846
197	552	843
198	556	841
199	558	837
200	560	834
201	563	830
202	564	826
203	568	825
204	570	821
205	573	818
206	575	815
207	578	811
208	580	808
209	582	804
210	585	801
211	587	798
212	589	794
213	591	790
214	594	787
215	596	784
216	598	781
217	601	777
218	603	774
219	606	771
220	608	768
221	610	765
222	613	761
223	615	757
224	617	754
225	619	751
226	621	747
227	623	744
228	625	740
229	627	737
230	630	733
231	631	729
232	633	726
233	636	723
234	638	719
235	640	716
236	642	713
237	644	709
238	646	706
239	649	703
240	651	700
241	653	696
242	655	693
243	657	689
244	659	686
245	661	682
246	662	678
247	665	675
248	667	672
249	669	669
250	670	665
251	672	662
252	674	658
253	676	655
254	679	652
255	681	649
256	682	645
257	684	642
258	686	639
259	688	635
260	689	631
261	691	628
262	693	625
263	695	621
264	697	618
265	699	615
266	701	612
267	703	609
268	705	606
269	707	602
270	709	599
271	711	596
272	713	592
273	714	589
274	716	586
275	718	583
276	720	579
277	722	576
278	724	573
279	725	570
280	732	571
281	734	568
282	736	565
283	739	562
284	740	558
285	742	555
286	744	552
287	746	549
288	748	546
289	750	543
290	752	540
291	754	537
292	755	534
293	757	531
294	759	527
295	761	524
296	763	522
297	765	518
298	767	515
299	769	512
300	771	509
301	772	506
302	774	503
303	776	500
304	778	497
305	780	494
