iter	RMSE
0	4.529714142
1	4.348723562
2	4.160900143
3	3.982458027
4	3.815028419
5	3.651101857
6	3.490711348
7	3.346551083
8	3.208061781
9	3.074068321
10	2.947253697
11	2.83467414
12	2.713465111
13	2.606433525
14	2.513037782
15	2.410178909
16	2.315384091
17	2.227556518
18	2.13984065
19	2.053863175
20	1.978243334
21	1.912448735
22	1.841673425
23	1.773407704
24	1.705674214
25	1.645344342
26	1.583872295
27	1.526866694
28	1.469502776
29	1.413604152
30	1.363497121
31	1.315039511
32	1.26869337
33	1.224885083
34	1.184686844
35	1.146144765
36	1.109967768
37	1.075899557
38	1.042466312
39	1.012148446
40	0.9833943321
41	0.9550875307
42	0.9304831522
43	0.9035064859
44	0.878419743
45	0.8553601309
46	0.832513457
47	0.8117828051
48	0.7930499448
49	0.7760762618
50	0.7589106241
51	0.7423206831
52	0.7260620346
53	0.7118564642
54	0.6991602201
55	0.6850052305
56	0.6721569255
57	0.6592383524
58	0.6489944101
59	0.6388938223
60	0.627876938
61	0.6178391342
62	0.608502594
63	0.5992366847
64	0.590718179
65	0.5827187345
66	0.5758640886
67	0.5688713306
68	0.5615631092
69	0.5551034738
70	0.5473661974
71	0.5414493877
72	0.5364371774
73	0.5301319432
74	0.5256569719
75	0.5205394015
76	0.5147369407
77	0.5091827178
78	0.5042385657
79	0.5005677379
80	0.496471455
81	0.4923064589
82	0.4890175792
83	0.485046326
84	0.482057089
85	0.4776827859
86	0.4732391675
87	0.4693546188
88	0.466080161
89	0.4629709675
90	0.4604365258
91	0.4583467984
92	0.4559489025
93	0.4535675366
94	0.4511249378
95	0.4482199397
96	0.4453820446
97	0.4433458965
98	0.4412157499
99	0.4392279994
100	0.4372198025
101	0.4340086381
102	0.4319616151
103	0.4303239686
104	0.428505201
105	0.4269812705
106	0.4248412243
107	0.4227953461
108	0.4214780991
109	0.4203167486
110	0.4183199077
111	0.4168101089
112	0.4153575046
113	0.4139139986
114	0.4125923024
115	0.4112337792
116	0.410044729
117	0.4087321545
118	0.4073109641
119	0.4062231754
120	0.4048077003
121	0.4035494224
122	0.4026131655
123	0.401053268
124	0.3997503345
125	0.3985435118
126	0.3977455363
127	0.3966327895
128	0.3958473022
129	0.3950509033
130	0.3940001529
131	0.3932989666
132	0.3924848043
133	0.3913253893
134	0.3896811167
135	0.3892261294
136	0.3876942101
137	0.3869885979
138	0.385468345
139	0.3849734479
140	0.3841710724
141	0.3832182373
142	0.3822920141
143	0.3810036009
144	0.3801232641
145	0.3792854559
146	0.3784312819
147	0.3778004528
148	0.3772754415
149	0.376133269
150	0.3751925538
151	0.3742850767
152	0.3729920508
153	0.3716694089
154	0.3703313049
155	0.3693710264
156	0.3680330835
157	0.3674289219
158	0.3670093239
159	0.3660184509
160	0.3654589293
161	0.3644247655
162	0.3636545981
163	0.3627717169
164	0.3617786275
165	0.3609371207
166	0.3601221842
167	0.3595031417
168	0.3582219373
169	0.3569139207
170	0.3558979275
171	0.3550189347
172	0.3542790525
173	0.3533645252
174	0.3525125282
175	0.3515948106
176	0.3514265352
177	0.3511288643
178	0.350733753
179	0.349804452
180	0.3488687261
181	0.3487557046
182	0.3479041257
183	0.3470341686
184	0.3468498129
185	0.3461734254
186	0.345019341
187	0.34439367
188	0.344272978
189	0.343601246
190	0.3429256416
191	0.3422375837
192	0.3418606992
193	0.3411383176
194	0.3403696392
195	0.3399475716
196	0.3389366565
197	0.3383060407
198	0.3373987007
199	0.3370262838
200	0.3368830373
201	0.3357606559
202	0.3345858686
203	0.3337940088
204	0.3336548969
205	0.3330075154
206	0.332146804
207	0.3313722857
208	0.3306541268
209	0.3295709677
210	0.3289660084
211	0.3284944602
212	0.3278790655
213	0.3271342441
214	0.3261841934
215	0.3256907828
216	0.3247491678
217	0.3242147354
218	0.3234312825
219	0.3225304817
220	0.3223295726
221	0.3220428203
222	0.3217403042
223	0.3207704759
224	0.320019858
225	0.3190322778
226	0.3179689218
227	0.3169982928
228	0.3163442028
229	0.315707533
230	0.3151643839
231	0.314896855
232	0.3145448779
233	0.3137090966
234	0.3129066758
