iter	Passed	Remaining
0	7	7746
1	13	6690
2	19	6416
3	25	6351
4	31	6341
5	37	6290
6	43	6204
7	49	6166
8	54	6031
9	59	5913
10	65	5863
11	71	5904
12	77	5911
13	83	5900
14	89	5892
15	95	5878
16	101	5845
17	106	5818
18	111	5768
19	116	5710
20	121	5663
21	126	5630
22	131	5603
23	136	5570
24	141	5527
25	146	5485
26	151	5450
27	155	5414
28	160	5382
29	165	5347
30	170	5321
31	175	5296
32	179	5258
33	184	5237
34	189	5215
35	193	5183
36	198	5159
37	202	5138
38	207	5124
39	212	5095
40	217	5077
41	221	5060
42	226	5031
43	231	5021
44	235	5004
45	240	4984
46	245	4972
47	250	4959
48	255	4953
49	259	4938
50	264	4928
51	269	4917
52	274	4903
53	279	4893
54	284	4882
